timestamp,%_cpu
6.38E+17,0
6.38E+17,37.110638
6.38E+17,33.997185
6.38E+17,30.203444
6.38E+17,21.678862
6.38E+17,29.505611
6.38E+17,33.366814
6.38E+17,36.383587
6.38E+17,32.453106
6.38E+17,31.0684
6.38E+17,29.468674
6.38E+17,34.163292
6.38E+17,29.346077
6.38E+17,33.982056
6.38E+17,31.700802
6.38E+17,28.74692
6.38E+17,36.5008
6.38E+17,31.835007
6.38E+17,42.680054
6.38E+17,34.147118
6.38E+17,29.40766
6.38E+17,24.900215
6.38E+17,26.40586
6.38E+17,33.31119
6.38E+17,29.508905
6.38E+17,31.67179
6.38E+17,41.744373
6.38E+17,43.3021
6.38E+17,26.377218
6.38E+17,34.176037
6.38E+17,38.663506
6.38E+17,31.736649
6.38E+17,27.921722
6.38E+17,31.077402
6.38E+17,34.863335
6.38E+17,31.620525
6.38E+17,30.916302
6.38E+17,20.141499
6.38E+17,31.848501
6.38E+17,34.886494
6.38E+17,27.159006
6.38E+17,23.983889
6.38E+17,34.772198
6.38E+17,30.128412
6.38E+17,32.60619
6.38E+17,37.272564
6.38E+17,38.03745
6.38E+17,33.40541
6.38E+17,40.925232
6.38E+17,44.939617
6.38E+17,38.684242
6.38E+17,39.430832
6.38E+17,39.493713
6.38E+17,40.98847
6.38E+17,46.333485
6.38E+17,34.866787
6.38E+17,37.78797
6.38E+17,37.98469
6.38E+17,29.454071
6.38E+17,43.942078
6.38E+17,34.947834
6.38E+17,36.367035
6.38E+17,24.080278
6.38E+17,32.554092
6.38E+17,34.14115
6.38E+17,30.159218
6.38E+17,24.818914
6.38E+17,45.016335
6.38E+17,33.350227
6.38E+17,36.399605
6.38E+17,32.605698
6.38E+17,40.95354
6.38E+17,36.506603
6.38E+17,29.48488
6.38E+17,31.036375
6.38E+17,38.844105
6.38E+17,29.525051
6.38E+17,29.456795
6.38E+17,32.59242
6.38E+17,39.417507
6.38E+17,45.82637
6.38E+17,30.13335
6.38E+17,30.943825
6.38E+17,37.106846
6.38E+17,30.88522
6.38E+17,29.364553
6.38E+17,28.55688
6.38E+17,35.53843
6.38E+17,34.9548
6.38E+17,28.651594
6.38E+17,37.868195
6.38E+17,33.197147
6.38E+17,36.31563
6.38E+17,38.75339
6.38E+17,32.446568
6.38E+17,42.48366
6.38E+17,47.213814
6.38E+17,42.60108
6.38E+17,30.120209
6.38E+17,34.79207
6.38E+17,34.156677
6.38E+17,38.779663
6.38E+17,30.928734
6.38E+17,34.772095
6.38E+17,30.16313
6.38E+17,47.850693
6.38E+17,41.820633
6.38E+17,34.191597
6.38E+17,26.341541
6.38E+17,35.551735
6.38E+17,31.629915
6.38E+17,32.60587
6.38E+17,35.611988
6.38E+17,29.5308
6.38E+17,35.73974
6.38E+17,37.085423
6.38E+17,40.935955
6.38E+17,44.047913
6.38E+17,35.521824
6.38E+17,41.767113
6.38E+17,34.075783
6.38E+17,30.213829
6.38E+17,34.07887
6.38E+17,34.71416
6.38E+17,33.965683
6.38E+17,49.67906
6.38E+17,40.953876
6.38E+17,31.778645
6.38E+17,34.806835
6.38E+17,31.06683
6.38E+17,28.766983
6.38E+17,30.306475
6.38E+17,26.298893
6.38E+17,32.553783
6.38E+17,32.60832
6.38E+17,34.834953
6.38E+17,27.193853
6.38E+17,43.37687
6.38E+17,42.593834
6.38E+17,42.62925
6.38E+17,44.93133
6.38E+17,40.30269
6.38E+17,40.269154
6.38E+17,37.31974
6.38E+17,35.675797
6.38E+17,46.591812
6.38E+17,53.401512
6.38E+17,45.06344
6.38E+17,41.969223
6.38E+17,45.888947
6.38E+17,46.602085
6.38E+17,46.606155
6.38E+17,40.317375
6.38E+17,43.314167
6.38E+17,45.109535
6.38E+17,42.8021
6.38E+17,46.664635
6.38E+17,44.321495
6.38E+17,43.538986
6.38E+17,42.004364
6.38E+17,53.655388
6.38E+17,48.98011
6.38E+17,50.492947
6.38E+17,50.547382
6.38E+17,41.964424
6.38E+17,49.67951
6.38E+17,47.331417
6.38E+17,46.67829
6.38E+17,47.39822
6.38E+17,39.593544
6.38E+17,48.98347
6.38E+17,39.63171
6.38E+17,46.622356
6.38E+17,46.65806
6.38E+17,52.83204
6.38E+17,39.660187
6.38E+17,42.69339
6.38E+17,41.080204
6.38E+17,56.804214
6.38E+17,44.324036
6.38E+17,40.434994
6.38E+17,49.745663
6.38E+17,52.894585
6.38E+17,47.45648
6.38E+17,54.41639
6.38E+17,45.84561
6.38E+17,49.718075
6.38E+17,41.209244
6.38E+17,38.87583
6.38E+17,58.20719
6.38E+17,57.34221
6.38E+17,62.22774
6.38E+17,62.19537
6.38E+17,59.096397
6.38E+17,55.95723
6.38E+17,59.87197
6.38E+17,58.33744
6.38E+17,50.549683
6.38E+17,52.803593
6.38E+17,48.97422
6.38E+17,41.985188
6.38E+17,36.416653
6.38E+17,55.244434
6.38E+17,54.448177
6.38E+17,63.704067
6.38E+17,48.982685
6.38E+17,45.822323
6.38E+17,57.282303
6.38E+17,57.543766
6.38E+17,46.64346
6.38E+17,52.906914
6.38E+17,49.76914
6.38E+17,53.620846
6.38E+17,64.514534
6.38E+17,46.618706
6.38E+17,48.246906
6.38E+17,50.548126
6.38E+17,49.006542
6.38E+17,62.96847
6.38E+17,55.981102
6.38E+17,68.39529
6.38E+17,45.07913
6.38E+17,49.736782
6.38E+17,58.361702
